============================================================
戸塚宏 発言記録集（圧縮版）
[00:09] ですよそれなのに今体育と称してスポーツ
[00:14] だけやっとうでしょあれは文部将の責任や
[00:18] ねでどうしてそんな風になったかと言うと
[00:21] リベラルがうるさいからしいてはいかん
[00:24] しかないと体育じゃないよよスクールで
[00:27] 投稿拒否を直したあれは何をやったかと
[00:31] 言うと体育と徳育をやったんですそうし
[00:35] たらば投稿拒否が治ったよう考えてもらわ
[00:38] んと学校が地区延長になっちまってそれも
[00:43] 本当の地区じゃないでしょ物を覚えれば
[00:46] ええというわけのわからんカスみたいな
[00:49] 地区やねでそれをのOB卒業した人間偏差
[00:55] 仲裁が偉い人になるもんでもうますます
[00:58] そうなっちまうねもは覚えたえんやとそれ
[01:00] がチクなんだということになっちまって察
[01:03] 済は大体において体育が苦手でしょ実際の
[01:07] 行動できない人が多いから文部省の役人で
[01:10] も体育をろかにするわな体育とは何かを
[01:14] 考えようともしてないよ
[01:16] ね体育の目的は正しい行動をするこれには
[01:21] どうしたらいいかつまり正しい行動をする
[01:25] 能力をつけようこれが体育ですですから
[01:30] 修行修行に納める集と行行の方が2つある
[01:35] でしょ職業の行もう1つは行う行うの方が
[01:39] 体育職業の業こちらの方がスポーツです
[01:44] ですから体育行うという字はね変化という
[01:48] 意味なんですよだから変化の仕方を覚える
[01:52] 自分の進歩の仕方を覚える体育をやったら
[01:56] ば何をやってもうまくやれるようになる
[01:59] これが体育の目的ですよね力がかかるもの
[02:02] であろうとえ細かいテクニックがいるもの
[02:05] であろうとえ事を書にしても何でもうまく
[02:08] やれるそのために体育をやるでうまく
[02:11] やれるということは正しい精神を作るこれ
[02:15] は一致するからスポーツは野球なら野球5
[02:19] 職業の業これは具体的な行動を示すから5
[02:23] っていうわね野球なら野球バスケなら
[02:27] バスケそういう風にそのもののテクニック
[02:30] を上げるのがスポーツだから目的は試合に
[02:34] 勝つことになっちゃうえこれがスポーツ
[02:36] ですですからスポーツをやってもスポーツ
[02:39] にだって体育的要素は必ずあるから少しは
[02:43] 体育の結果も出せるんだけど体育だけに的
[02:47] を絞ったものに比べるとやっぱり結果は
[02:51] ダメなんですわスポーツはねだからまず
[02:55] 体育をしっかりやらせないとイギリスの
[02:59] パブリックスクー高校やね午後みんな体育
[03:02] だそれぐらい重要ししとるイギリスの真似
[03:05] をしたがる日本がどうしてそいつを
[03:07] 取り入れるのかねこういうとこがおかしい
[03:09] んですわだから自分の苦手なものは排除
[03:12] しようとする検察修正やね体育はちゃんと
[03:15] やる今のあの日本の経済がダメになる競争
[03:20] 力がダメになるこれは一生懸命働かん働か
[03:24] ないからでしょ正しく働かない正しく開発
[03:27] しない粘りがないこういうものはみんな
[03:30] 体育で作れるんですよねから体育をおろか

--- 動画: Let's define good and evil ---
[00:00] 本能が悪異性が善と言われるとええと思う
[00:04] わな理科系はどうしてかと言うと理性の
[00:07] 正体を大体みんな知っとるじゃん本のの
[00:09] 正体も知っとるじゃんところがリベラルは
[00:13] 自分たちが生前説っていうじゃん性前説の
[00:16] 性の意味を知らんのやあれは助教に
[00:19] 乗っとる言葉だから受okayを否定する
[00:22] 連中は生前説の意味はわからんよ生前説は
[00:26] と言うと生まれながら人間は全であると
[00:29] それでおしまいじゃそうじゃなしに
[00:31] ヨーロッパの精神論の1番間違えとんのは
[00:34] ね生まれながらに理性があるっていうとこ
[00:37] ない理性は作るもの授okay見てみ仏教
[00:40] 見てみ大和魂もそうやどうやって正しい
[00:45] 理性を作るかというのが3つのテーマだ
[00:48] それなのにヨーロッパ流のアメリカ流の
[00:51] 精神論でいけば理性作る必要ないやん
[00:54] 生まれた時からもうある世界人権宣言の
[00:57] 全部に呼んでこらんそう書いてあるから
[01:00] そこが嘘なんだ理性の正体は知らん理性は
[01:03] 善であるなんていうバカなことが起こって
[01:05] くるんやそうじゃなしに仏教を読んでら
[01:08] 理性は悪であるって書いてあるよ半神教
[01:11] 読んだらそう書いてあるやろ授業を読んで
[01:13] もそう書いてあるだから人間は間違った
[01:17] 理性これが悪やね間違った理性を作るどう
[01:21] やってそれを直すのかと
[01:24] いうその直し方は授業は学習だ学びて時に
[01:30] これを習う習うは行動だよ習うを学習する
[01:34] と言うと普通勉強じゃんそうじゃない習う
[01:37] は行動なんだ教わったこと正しいことを
[01:40] 教わるそれを実行する実行するとその精神
[01:44] が身につくんだそうやって正しいこと
[01:47] ずっとやっていけばそのうちに精神が理性
[01:50] が全部正しくなるというのが受okay
[01:53] ただし時間かかるよねだからこしだって
[01:57] 完全にその状態になるのは810歳になっ
[02:00] た時やその間ずっと努力し続けよというの
[02:03] が受業ね仏教はね手っ取りばやんやいい
[02:07] 方法があって
[02:09] ねお釈迦様が最初は苦行をするわけね肉体
[02:14] 的な靴から悟ろうとするわけだあれは精神
[02:18] は崇高なもの肉体は邪悪なものという哲学
[02:21] やねだから肉体をずっと死に向かわせる
[02:25] わけ死ぬ寸前に精神の方が勝つ必ずだから
[02:30] 精神が正しくなるこれが苦行の意味やねな
[02:33] こんな嘘やからいくら肉体をいじめたって
[02:37] 精神は良くならない高くならない正しく
[02:40] ならないでそれが分かったもんでお釈迦様
[02:43] は森から出てきて釘やめたんや苦をやめて
[02:48] まず栄養を取って体を元に戻してね座禅を
[02:52] 組んで瞑想をして何日間で下達したんだだ
[02:57] から受業より仏教の方ががはかに能率的
[03:01] 早いだから今の防寒っていうのはみんな
[03:04] 下達しとるはずなんやけどどうもしてない
[03:06] よねやり方が間違っとるんじゃないか
[03:09] ね刑務所におる時に座禅クラブに入って
[03:13] なかなか入れてくれんのややっと入って
[03:16] 最初の日に座禅しとったら指導する坊さが
[03:19] 来てなんかこうおちょくっていくんよね

--- 動画: The real reason why Totsuka Yacht School became a rehabilitation facility ---
[00:00] 今日本で例えば投稿ができる。投拒否を
[00:04] 心理学で直す治らんやないか。最初ね
[00:08] ヨットスクールをやった時にもう何年間か
[00:11] 小学校から始まって中学生になってもまだ
[00:14] 投票をやってるという子供がずっと何年間
[00:18] か心理学に通っとったんやね。心理
[00:21] カウンセラーでところがちっとも良くなら
[00:23] ん。何の変化もない。親はなんかおかしい
[00:26] んじゃないかということでうちに入れたい
[00:28] 。その頃はうちは子供をしくとこだという
[00:31] 風に乗っとったんやね。で、親としても
[00:34] 死護れにゃダめよと思っとった違いないん
[00:36] や。で、うちに入れたら1回トレーニング
[00:39] したら次の日から学校行き始めた。もう
[00:42] 今夜になったんやけどね。これは一体何な
[00:44] んだということや
[00:46] 。他のね、それの専門家カウンセラーとか
[00:50] 大学のなんとか社会事の体操な名前のとこ
[00:54] があって、そういうとこに言いに行った
[00:56] わけよ。うちでこういうことが起こりまし
[00:58] たと。うちはそんな子供入れたくないんや
[01:01] 。優秀な子供入れたいんだから。オタクも
[01:03] もし困ったらうちと同じことやったら
[01:06] うまくいくんじゃないですか。したら
[01:08] 怒り出してね。決まって怒るんや。あの
[01:10] 連中自分ができんからやね。ある時当時
[01:14] 相談所で投稿拒否なんか扱っとったもんで
[01:16] 。そこのおっさんはそんなもん治るの
[01:18] 当たり前やないか言うてそこの東山公園と
[01:21] いう動物園があるんやがあの池でボート
[01:24] 乗したら治るよ。もうそれはええやないか
[01:26] 。自分とか治らん。どうして乗せないの?
[01:29] したら治るというのはな、そういうこと
[01:31] じゃないんだって言うんや。学校行って
[01:33] ない子が学校行ったから治ったとは言え
[01:36] ない。どうしたら治ったということになる
[01:38] んや。明らかに学校に行けなかった子供が
[01:41] 学校に行けるようになったということなん
[01:43] やから。それでええやないかよ。後の教育
[01:45] は学校に任しとけやろ。したらそんなこと
[01:48] やないんだって。一生かかってもやるもん
[01:50] なんだよ。てあんたね一生かかって治っ
[01:52] たって手遅れだよ。そうでしょ。有会とか
[01:56] 言うんやね。もうこんな連中が直せるわけ
[01:58] ないじゃん。まず自分直せよって言たら
[02:01] なってくるわね。どこ行ってもそういう
[02:03] 態度やって大学でそれを扱っとるところへ
[02:07] 行ったらば何しろうちに来るのは難しい。
[02:10] 本当に難しいのばっかりがうちに来るから
[02:13] 。だからあんたんとこに行ったのは難しく
[02:16] ないやつなんだっていう。申し訳ないけど
[02:18] 、ちょっと一緒に見せてくださいよって
[02:20] そのカウンセリングやっとうと一緒に見に
[02:22] 行ったらなんや全然難しくないやつや。一
[02:25] 発引っ張った学校行きそうなやつや。これ
[02:28] もあかん思ってね。連中は無力ないんだ
[02:31] からしょうがない
[02:33] 。あれが治ったということが新聞に乗っ
[02:37] ちまってうわーっと来たんや。あれ見た
[02:40] だけでもどこも直せんっていうことが

--- 動画: Is it true that "instinct is good"? #TotsukaYachtSchool #adultery #ReiwaYachtSchool ---
[00:00] 本当に本能は全なのかっていう問いで不倫のことを例に出して本能のままに行動して不倫とかが発生してしまうとしたら本当にこう不倫は今アとされてるのが一般の中で本能は全で合ってるのかっていう質問もあったんですけどこれについてどうですか?
[00:16] うん。おそらくね男と女の違いっていうのは男はね例えば
[00:22] 1年に100
[00:23] 人でも子供を作ることができるやないか。女は
[00:26] 1人しかできないで1年間にね。
[00:29] はい。
[00:30] だから男は自分の遺伝子を残そうとしとるわけで、いろんな女に渡り歩くこともできるんよ。だけど
[00:38] 子供を作るというセックスやな。それをしたらね、誰でも分かると思うけども、めは愛やな。恋なんだ。外みだけであの女がええという風に思っちまう。恋の目的はその女を抱くことなんだ。
[00:53] で、成就してその女を第1たらその途端に
[00:58] ね、責任感ができてくるんよ。この女を
[01:01] 守らないかんと思っちゃう。で、飯を
[01:03] 食わしたりあれしたりするけど、ま、本当
[01:05] は肉体的によそから変なやつが来たらそれ
[01:09] をおっ払らうというそういう守り方をせ
[01:11] ないかんだよな。自分の子供をDNAを
[01:14] 残すかもしれんしても大事にせないか。
[01:16] これが愛なんだ。だから要キリスト教が
[01:19] 言ってた愛のないセックスなんて消し
[01:22] なんて言うけどあれ逆なんや。後で愛が
[01:25] 生まれる。
[01:28] だから男は本能的にあのいろんな女と寝
[01:33] たいんだ。で自分の遺伝子を残したいん。
[01:37] これはね男にとっては善なんよね。女に
[01:40] とってはちょっとね自分を守る人が分散さ
[01:43] れちまう。守る人間が大勢になったら自分
[01:46] を守ってくれる能力が減っちゃう。女に
[01:49] とっては熱くなった。だから今女の世界
[01:53] マスコミが女の機嫌を取らんことには売れ
[01:56] んもんであれは悪いことという風にしとる
[02:00] わね。だけど実際は不倫するためには女が
[02:03] いるんやからその女の方がええんかな。
[02:06] 悪くはないのね。相手が家族持ちだという
[02:10] ことを知って不倫にするだから不倫に
[02:12] やろう。
[02:13] そういう哲学とか宗教とかそういうもので判断してはいかんの
[02:18] 校長的には自然の部分つまり本能が善っていうことだと思うんですけど不倫っていうのに対しては全悪で言うとどう思いますか?
[02:28] おそらく全やな。
[02:31] なるほど。ま、社会生活を営む上ではま、うまく付き合っていかないといけないっていう感じですね。
[02:37] うん。ともかく自分の遺伝子を残したもの勝ちなんだ。
[02:40] 酒なんか見てごらん。1匹しかあの遺伝子
[02:43] 残せんはずなのによ。ブーっとオが寄って
[02:46] きてみんな自分の子供を作ろうとする
[02:48] じゃん。あれがオの本のやないかな。自分
[02:51] の遺伝子を残したいという
[02:54] 質問で体罰は理性が行うのではないかって
[02:57] いうコメントがありました。これ結構
[02:59] ちゃんと文章が書いてあったので読みます
[03:01] ね。生徒や子供がやり返さないという理性
[03:04] があるから体罰は成立するんですよ。一方
[03:07] で体罰する側は本能を発散できてさぞ気分
[03:10] が良いことでしょう。つまり被害者側の
[03:12] 理性に一方的に甘んじた行動。それが体罰
[03:16] です。都合のいい部分だけ本能を肯定し
[03:18] ないでくださいっていうことで、ま、体罰
[03:20] はやる側は理性で行ってるんではない
[03:23] かっていう質問でした。
[03:27] 理で行うからおかしなことになるんだ。生
[03:30] でやる時、行動する時の1番悪いことはね
[03:34] 、最初に恐怖が湧いてくることなんだ。
[03:37] 初めてのことは必ず恐怖が湧くよ。用人と

--- 動画: [Hiroshi Totsuka] Talks about the trend of proxy resignation services #weak #power harassment #re... ---
[00:00] 最近退職代行が流行ってるんですけど、
[00:03] これご存知ですか?
[00:04] うん。素晴らしいね。
[00:06] ま、退職したいっていう人が自分で上司とかに言う代わりに
[00:11] 会社さんに依頼してっていうものなんですけどうん。うん。
[00:14] これについて校長の意見を伺いたい。
[00:19] 大体退職の理由っていうのがしっかりしとるんかな。
[00:23] 自分のかなり勝手な理由になってないから
[00:27] 子供時代ていうのか非常にこう世の中を
[00:31] 甘く見る癖をつけさせられちまったやろ。
[00:34] どうしても困ったら誰かが助けてくれるん
[00:36] だという。そういう風に思わされちまった
[00:38] よね。で、それが正しいんだというついで
[00:41] にね。それは間違っとるよ。人の助けを
[00:44] 当てにするっていうのはいかんよね。から
[00:47] ね。まずそういう困った時は誰かに助けて
[00:51] もらおうという精神状態になってるという
[00:54] ところが問題やな。それと弱いということ
[00:58] な。リベラルは一生懸命強いのは悪いこと
[01:02] というような教育をしてきたわね。だけど
[01:05] 強いのは正しいということなんよ。強いの
[01:08] 意味を知らずにみんな勝手なこと言っとる
[01:11] けど。あれそういうことを言う人が弱いん
[01:14] やろうね。だから強くする。
[01:16] 特に男は強くしないと使いものにならんよね。
[01:21] 校長の思想で一貫して強いものが正しくて弱いものは強くなるべきっていうのがあると思うんですけど。
[01:28] そうそうそう。
[01:28] これについてちょっと詳しく伺ってもいいですか?
[01:33] 正しいとは一体どういうことなんや?正しい精神と精神というのは行動のプログラムやろ。だから正しい精神で行動すると結果が出るんだ。
[01:46] 目的を達成できるだから正しいんじゃない
[01:49] 。弱いのは目的達成できないじゃない。
[01:52] 弱い精神でやったら。だから弱いのは
[01:54] 正しくない。それだけのことじゃない。
[01:57] 人間の行動には必ず目的
[02:00] があるんだからその目的を達成するように
[02:04] 教育していかにゃ。今目的達成できなくて
[02:07] よくできましたなんていうわけやろ。あれ
[02:10] がいかんのや。
[02:11] の強いものが正しいっていうのに対する反論で、
[02:15] 力が強い乱暴とかがよくあると思うんですけど、
[02:19] これはどうですか?
[02:20] だって乱暴って卵がついとるわけやろ。だから正しくないじゃん。暴力某がついとるんだから正しくないじゃん。精神的に強くないと弱いもんの非常に弱いものが危ないというのはダメだというのは行動がę素猫を噛むの行動になっちゃうんよ。
[02:40] だから追い詰められたネズミがその恐怖で
[02:45] 行動する。そうすると叶うはずの相手に
[02:48] 向かっていくということやね。だから
[02:50] 間違った行動なんだ。恐怖でいきなり行動
[02:53] すると間違った行動しちまう。あるいは
[02:56] 逃げる行動する。どっちも目的達成できん
[02:59] わね。だから怒り怒りの方は立ち向かう。
[03:04] これで行動すれば大体正しい行動ができる
[03:07] 。
[03:08] 乱暴物とかああいうおかしなやつらの見て
[03:12] ごらん。あれ恐怖でやっとるから。体罰の
[03:15] とこで言わんやったかな。1番する側とし
[03:19] て怖いのは弱いやつがすると怖いんだ。
[03:22] むっちゃくちゃやっちまうのね。間違った
[03:25] 行動するから恐怖で対人恐怖なんよ。だ
[03:28] から生徒が怖いんだ、先生が。そうすると
[03:32] 恐怖で持って生徒に対する行動するをする
[03:36] 。むっちゃくちゃやっちまうんよね。いつ

--- 動画: [Interview] The best student talks about Totsuka Yacht School ---
[00:00] 高校生ぐらいの時に勉強に目覚めたんです
[00:02] ね。日本の政治に目覚めてちょっと日本
[00:05] なんとかしないといけないのかなみたいな
[00:07] そういう思いがあって色々学んでいくうち
[00:11] に日本の問題点っていうのは教育なんじゃ
[00:13] ないかなっていう風に自分の中で思ってい
[00:15] てそれでどういう教育方法が1番いいのか
[00:18] なっていうのでずっと探してた時期だった
[00:21] んですね。大学から学ぶのはま、リベラル
[00:24] 教育。ま、マスコミからもリベラル教育。
[00:27] 自分なんかは他にも正論だったり月刊士の
[00:30] あとサピオとかウィルとかそういうのも
[00:33] かなり読んでとにかく本をもうたくさん
[00:36] 読んでシンポジウムにもいろんなところに
[00:38] 行ったりしてでそこで校長とさっき言った
[00:41] ように初めて出会って理論的なんですねと
[00:44] 思ったんですね。
[00:45] 全てにおいてあ理論的だし漠然と思いがた日本人らしい昔言ったらこの投用思想を元にしたこの教育みたいなのを実践されてる方なんだなっていうのであ、そういう方がいるんだっていうのがちょっと衝撃的だったんですね。
[01:02] なるほど。うん。
[01:03] そこからさらにお話を聞いたりとか
[01:06] はい。
[01:06] 合宿所に行ったりとかで最初の印象とか
[01:10] なんかどういうものを感じたとかあったら伺いたいです。
[01:16] 生活見って思ったのはいわゆる世間が叩い
[01:19] てるほどひどい指導はしてないとこですね
[01:22] 。で、そっからま、色々やっぱ調べていっ
[01:24] たんですね。トスケオ夫スクール事件とは
[01:26] 何だったのかとか、当時の新聞とかも調べ
[01:29] たりしてそしたらなんか全然違うなと
[01:32] 殴り殺してないなっていうのとかも分かり
[01:35] ましたし全然なんか意味してるのが違う。
[01:38] あとは校長もそうですし、浩たちとも話をしたり、一緒に生活して、あ、この人たち強いなっていう、もう精神的にも全てにおいて、あ、強い人たちだなっていうんで憧れはありましたね。
[01:51] 強さみたいなちょっともいいですか?
[01:52] もうなんだろうな。
[01:54] 強さは正しさなんよ。正しくないものは強くないんだね。だからうちはみんなが絶対俺らが正しいと信じ込んどるし本当にそうなんやだから強く感じるんよね。
[02:07] なんで信じ込んでるっていうか、
[02:09] 成果が出てるからですよね。そこはなんで自分結局合計で言ったら
[02:13] 3
[02:13] 年以上働いてたんですけどここで校調もそうだし、この皇師たちからわっと受けたことないんですよ。それはもうやっぱり確立してるというか、強いからむちゃくちゃな理不尽な部下に対して要求みたいなのをしないんですよね。
[02:27] そこが多分世間だとめちゃくちゃパワハらしてんだろうなとか講師たってかなり厳しくきつい仕事を部下にやらせてんだろうなみたいなイメージがあんのかもしれないですけど、そういうのがもう一切ない校長工事たちでしたね。
[02:43] 合宿所で3年間過ごした時って
[02:46] 使よスクール自体はどういう時期例えばそのマスコミのバッシングがあった時とか過ぎた時あると思うんですけどどういう時とかその辺りだったと思うんですけど
[02:58] 特にま実とかも起こってないので別になんかマスコミに注目されるっていうようなことはなかった時期ですね。
[03:05] ただ、ま、校長が時々テレビ出演するんで、あの、坂神しの時だったんですけど、あいう時とかは夜中にいたずら電話かかってきたりとか、もちろんそういうのはありましたけど、特にあんまり世間からは注目されてない時期だったのかな。
[03:20] ちょうど幼事教育、このジュニアスクールっていうのも始まった時期だったので、ま、なかなかすごい勉強になったというか、
[03:29] あ、過というか、
[03:30] そうですね、問題時を構成させるのではなくて生徒はいたんですけど、それでなしにこの問題時でない用児、え、小学校低学年までを集めた画宿を例えばこのゴールデンウィークとか
[03:41] 3
[03:41] 連休の時とか年末とか使って行うようになった時期だったということです。
[03:46] それがさっき言っただんだんあの効果が
[03:50] なくなってきたという。それがなんで
[03:52] だろうと思ったらやっぱり正直期と考える
[03:54] のが1番人間としての基本ができてない。
[03:58] だから進歩しない。だからある程度進歩し
[04:02] ても基準に達するとこまではないというの
[04:05] が多いのと家を頼っとるからね。うちが
[04:10] な何とかしてくれるというのがとんでも
[04:12] ない強いわ。
[04:15] やってることは一緒ではあると思うんです
[04:17] けども、多分ヨッスクールっていわゆる

--- 動画: [Congratulations] 50,000 channel subscribers ---
[00:00] YouTubeチャンネルが、
[00:02] あの、5万人登録達成しておりました。
[00:05] ああは。
[00:05] いつも見てくださってる方のおかげでついに
[00:08] 5万人までくれる方が増えまして。
[00:10] えっとね、これは愛国心から出ることで、だから諸君も愛国心を強くしてどんどん広げてくれ。そうしたら日本は救われる。今のリーダーども。あれは暴のだ。特にマスコミ。マスコミが日本のリーダーになったからこんなことになったんだ。で、考えてごらん。
[00:27] 戦争で持って日本はゼ0よりマイナスに
[00:31] なったんや。そいつを何十年間で世界1に
[00:35] しちまったやん。世界一にしちまった人は
[00:38] 戦前に教育を受けた人たちだ。そうやね。
[00:41] せっかく世界一にしてくれたのに戦後に
[00:44] 教育を受けた我々が今良くて30、この前
[00:47] 38位だ言っとったな。今もっと下がっ
[00:50] とるやろ。そのうちに100位になっ
[00:52] ちゃうよ。自分たちが悪いと思わないの。
[00:55] だったら何が悪いんや。教育が悪いに決まっとるじゃん。だから教育は早くちゃんとしないと日本潰れるよね。
[01:03] ちょっと外チャンネルとかで質問があったと思うんですけど、あ、今後の校調の活動とかあとこの令和ヨットスクールでの今後のやりたいこととかあったら是非伺いたいです。の味方を国民の半数以上にすりゃ部大臣は民できるし、マスコミは潰すことができる。ともかく朝日と毎日を潰さんことには日本は助からんよ。
[01:25] 校長の教育の正常化のためには僕たちでこう正しい発信をしっかり影響力をつけていくっていうのと、ま、同時にリベラルをこう排除していくっていうのもやりたいことの
[01:36] 1つなんですね。うん。
[01:36] だけどリベラル排除はみんなでやらんと難しいよね。文部省に言ってリベラルの人は先生にしないということでもやってもらわんとね。
[01:46] 外チャンネル拝見したんですけど調がなんか僕のこと
[01:50] 30代っておっしゃってたんで。
[01:51] あ、そうやったか。[笑い]
[01:54] 前お会いした時大学生って言われて
[01:56] 半年後外チャンネルで30代[笑い]
[01:59] 一応25歳で
[02:01] やらせてもらってるんで
[02:02] 今から頑張ってもらう世代やね
[02:05] はいはいあの
[02:05] 君たちが頑張らんと我々はもうダメやからねあと
[02:09] 10年もできやしない
[02:11] はいこのチャンネルもどんどん影響力を拡大していって
[02:14] いやそうやね
[02:15] いい風に力を使っていければと思っておりますね結局ねリベラルは聞きたくないから俺の話なんかねそこ
[02:22] で、止まっちゃうよね。お前ら間違っとったんやぞということを一生懸命言っとるわけやからな。それは嫌よね。連中はあいつらが日本の死身中の虫だ。リベラル大反対。リベラルを潰せ。
[02:36] 最後おまけというか、あの、個人的に嬉しかったのが学校の先生とかテレビの言うことを聞いててちょっと、
[02:44] ま、うつ病とまではかないんですけど、ふぎ込みがちだった方がなんかたまたま面白でこのチャンネル見てくれて、
[02:50] すごい今体調が良く、心の状態が良く目から鱗で救われましたってコメントをいて
[02:57] そうやね。
[02:58] 前もあったね、うつ病かなんかになっとった人が精神家にい続けて薬を飲み続けてたけど俺の話を聞いて薬も飲まんようになった精神家にも行かんようになった。
[03:11] そうしたらば家族とまくいくようになったと。
[03:14] うん。
[03:14] 家族とも子供ともうまくいくようになった言っとったね。
[03:18] はい。
[03:18] だからあれもリベラルの罪だ。
[03:21] こんな言い方すると捏造だろとかやらせだろうってまた言われそうなんですけど本当に結構コメントで若い人からそういうことだくこと多いんですよね。
[03:29] 若い連長犠牲者やからね。からもうともかくみんなでリベラル教育をやめさせようよ。そうしたら全てがうまくいくんだということは日教争はもう全部潰しちまう。朝新聞は潰す。あれはリベラルやからね。
[03:43] 最後に来年の目標とか何かやりたいこととかあったら伺いたいです。
[03:49] 結局ね、今うちがやっとる幼事トレーニングを伸ばしていきたい。だから結局ね、みツの魂
[03:56] 100
[03:56] までということをよう考えないかんのや。ところが密つになるまでに甘やかし放題やろ。だったら一生甘えるんや。それまでにちゃんとトレーニングしてやるということをね。
[04:07] はい。
[04:07] もう1
[04:08] つは子供の世界を取り上げちまって子供が団体になって外でわーっと遊んどるなんてそういう場面ないやないか。
[04:16] 遊園地に行ったってお母さんたちが周りを取り囲んであの子のと指示しとる。いじめたらいかんとかいじめるどうのこうのとか自由に遊ばしたらにゃん子供は本能的に行動しとるから正しいことをやっとる。
[04:29] 来年はとりあえず幼少教育の方の中力と
[04:33] うん。幼児教育についても少しね
[04:36] あの話をしていかんと
[04:38] あそうですね。YouTube
[04:40] の方も引き続き来年もよろしくお願いいたします。

--- 動画: [Totsuka Hiroshi] Become a man, you guys ---
[00:00] ま、コメント欄で自民党について校長の
[00:02] 意見をもう少し聞きたいっていうのが
[00:04] 多かったので伺いたいです。
[00:08] 自民党はね、真がないやないか。だから
[00:11] 自民党の中にリベラルまでおるやないか。
[00:15] 国民全般は自民党を頼りにしとると思う。
[00:18] それこそリベラルとか共産党とかどう見
[00:22] たって嘘ばっかり言っとるということ
[00:23] ぐらい分かるわね。誰が見ても。で、特に
[00:27] いかんのは実現不可能なことばっかり言う
[00:30] よね。減税しろっていうのは簡単や。で、
[00:32] 減税た分収入が減る。それをどうするんや
[00:35] ということをちゃんとあれせやんね。その
[00:37] 上で言わないいかんのに。ただ現在しろ、
[00:40] しろ、そうしたら景気が良くなるって。
[00:42] ちょっと考えれんわ。全体に不勉強なんや
[00:46] ね。自民党はどういう方向性で結いですか
[00:50] ね?まず大和魂を勉強しろよ。それほど
[00:53] 素晴らしい精神論はないんだということが
[00:56] よくわかってヤ和魂を身につけてそれから
[00:59] いろんなことを考えていけよ。そうしたら
[01:01] 大したもんになるんだけどもリベラル
[01:04] ばっかり揃っとるような感じがするよね。
[01:06] 今見ると頼りにならんやんからマスコミ
